LC08_L1TP_128033_20220524_20220602_02_T1_B;135;0;0;0;0;0;4;6831;39453;78451;18382499;21710369;1107795;98859;33561;20089;1765;0;0;0
LC08_L1TP_128033_20220625_20220706_02_T1_B;128;0;0;0;0;26;81;466;11623;28733;20334850;19121040;1669215;262784;40559;8679;142;0;0;0
LC08_L1TP_128033_20220727_20220802_02_T1_B;117;0;0;0;0;0;0;558;14601;58639;5668879;17208139;13888787;3807577;615969;204418;11843;0;0;0
LC08_L1TP_128033_20220812_20220818_02_T1_B;131;0;0;0;0;0;0;838;18919;102185;3305887;16962037;16358021;3443301;1126604;160295;860;0;0;0
LC08_L1TP_128033_20220913_20220922_02_T1_B;116;0;0;0;0;0;3;42071;86588;112754;1270096;25834680;11706975;1633448;761003;29551;12;0;0;0
LC08_L1TP_128033_20221015_20221021_02_T1_B;132;0;0;0;0;0;5;14132;72073;111244;19105371;21899445;268935;14152;2113;19;0;0;0;0
LC08_L1TP_128033_20221116_20221122_02_T1_B;115;0;0;0;0;0;7;29134;92277;132870;39168643;2015294;34738;1216;6;0;0;0;0;0
LC08_L1TP_128033_20221218_20221227_02_T1_B;133;0;0;0;0;0;165;3849;85274;177177;40527006;669462;8901;35;0;0;0;0;0;0
LC08_L1TP_128033_20230119_20230131_02_T1_B;123;0;0;0;0;0;0;235;45302;179501;41042734;218394;138;0;0;0;0;0;0;0
LC08_L1TP_128033_20230204_20230209_02_T1_B;112;0;0;0;0;0;178;18661;101941;154714;40518020;688168;6250;4;0;0;0;0;0;0
LC08_L1TP_128033_20230308_20230316_02_T1_B;120;0;0;0;0;0;27;21371;60999;148293;40075710;1162383;4017;9;0;0;0;0;0;0
LC08_L1TP_128033_20230425_20230501_02_T1_B;123;0;0;0;0;0;0;36571;105548;112497;27539725;13509559;166630;8947;88;0;0;0;0;0
LC08_L1TP_128033_20230511_20230518_02_T1_B;112;0;0;0;0;0;0;10787;72004;96347;21376018;19540693;341110;30914;8156;484;0;0;0;0
LC08_L1TP_128033_20230628_20230711_02_T1_B;115;0;0;0;0;0;2;15336;36469;77061;5613481;28920141;5756072;864769;144737;44351;6959;0;0;0
LC08_L1TP_128033_20230714_20230724_02_T1_B;144;0;0;0;0;0;0;2;18637;71581;15074498;20429096;4662352;762689;294086;142235;22219;60;0;0
LC08_L1TP_128033_20230815_20230819_02_T1_B;115;0;0;0;0;0;0;31025;35791;108612;2591367;23401858;12035306;1547916;1211742;507148;14373;0;0;0
LC08_L1TP_128033_20230916_20230925_02_T1_B;124;0;0;0;0;0;0;20950;22339;85817;4494776;30443324;4817028;1091440;490100;16148;0;1;0;0
LC08_L1TP_128033_20231103_20231110_02_T1_B;138;0;0;0;0;0;0;17454;56044;94686;33939312;7254435;103329;13270;4662;147;0;0;0;0
LC08_L1TP_128033_20231119_20231122_02_T1_B;114;0;0;0;0;0;98;12566;67627;94850;38092069;3161978;49118;2093;55;0;0;0;0;0
LC08_L1TP_128033_20231221_20240103_02_T1_B;104;0;0;0;0;0;164;428;8950;117427;40872536;468942;10668;0;0;0;0;0;0;0
